%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909756305413699,17603,1669909756099856569,,-3.035456689573546,-4.366125819695533,1.0699592861117386,0.025000126465725636,-0.027999998598779656,0.020000024235263404,0.0,0.0,0.0,0.018338073779208486,-0.004031633610544816,0.41332495980995354,-5.208764074247421e-07,1.2999682729150356e-07,6.547895986906498e-07
1669909756392414327,17604,1669909756231510355,,-3.03269441027202,-4.367810509993016,1.0704901824614508,0.021000235025271933,-0.02500013917408431,0.018000102220321536,-2.3435693401408902e-154,-1.664523638931116e-154,-4.1875961884661824e-155,0.017983689236988454,-0.005145092958208863,0.41098831460114305,-5.209980195763279e-07,1.2986541705637508e-07,6.54339618409869e-07
1669909756436156500,17605,1669909756359055270,,-3.028959552719256,-4.36970622465638,1.0709806663529142,0.021000235025271933,-0.02500013917408431,0.018000102220321536,-4.101540049527942e-231,-2.6953826411129796e-231,1.8397747390694293e-232,0.018012829785693185,-0.005603048603960659,0.40933467183974237,-5.210562878503814e-07,1.2983598161236513e-07,6.540615784956617e-07
1669909756463956662,17606,1669909756401942601,,-3.0277046142376864,-4.3703451545488665,1.0699545913109132,0.021000235025271933,-0.02500013917408431,0.018000102220321536,0.0,0.0,0.0,0.01798139959525713,-0.005720621068990184,0.408614549099223,-5.211029172499337e-07,1.2984367981001068e-07,6.53942855341571e-07
1669909756665021131,17607,1669909756429242423,,-3.0285478312096217,-4.371029254390072,1.0704368139113922,0.017000187338543492,-0.02400000185747513,0.017999976898923024,0.0,0.0,0.0,0.017981388658796504,-0.005719812520176504,0.40861543528773225,-5.21099741780016e-07,1.298480212029043e-07,6.539506159302325e-07
1669909756695067817,17608,1669909756558212399,,-3.0264171687739347,-4.371434657673572,1.0798429893984816,0.01600003405254029,-0.01900019947658742,0.017000026621643127,-1.1786168191647862e-217,-8.209878598651676e-219,-1.455272360390422e-216,0.017779376009439574,-0.005755722936498842,0.4065471564179699,-5.212177304610895e-07,1.2992555670858634e-07,6.535866265904642e-07
1669909756797386273,17609,1669909756670273074,,-3.0239258771942716,-4.372718172525085,1.0813945588286549,0.01600003405254029,-0.01900019947658742,0.017000026621643127,0.0,0.0,0.0,0.017372600644275593,-0.005375349869982671,0.40444169113581907,-5.213853644273498e-07,1.3006401091023746e-07,6.532343004026209e-07
1669909756852365230,17610,1669909756762175873,,-3.021884342436208,-4.37377372376874,1.0818601045109935,0.01600003405254029,-0.01900019947658742,0.017000026621643127,-4.1111115256895865e-274,-5.505301026349367e-273,2.2849816907526743e-276,0.016807947709422066,-0.004728154111948157,0.40251549778866647,-5.215518704716279e-07,1.3022620242481157e-07,6.529386647901857e-07
1669909757084407765,17611,1669909756817271349,,-3.0225375363562628,-4.3725290669410235,1.0807609948658101,0.01400008576142375,-0.01400020452795292,0.016000027666336257,-3.0308570393705424e-81,1.836073776191752e-80,1.2675964164459124e-80,0.016505137366490175,-0.0043144105040440195,0.401573553870362,-5.216265031657103e-07,1.3031696518386284e-07,6.527932695201689e-07
1669909757455900244,17612,1669909757057128341,,-3.0205269791613696,-4.374791219375052,1.0807595052640064,0.008999984403617284,-0.012999951227995429,0.013999977000725949,-1.1078455346934522e-155,-1.3803821460688697e-156,6.400248505264033e-158,0.015727907390312268,-0.0025638976856594553,0.39863416289803766,-5.2183748900388e-07,1.306600242674864e-07,6.523938365110224e-07
1669909757472496722,17613,1669909757235347104,,-3.0187455200079842,-4.376083624152235,1.0803049885081981,0.00800003335536527,-0.012000000282447233,0.012000074889289496,-9.728096227685244e-110,3.654648814242035e-107,4.536393692189363e-106,0.014911775139374583,-0.0014746465020589739,0.39718586194693906,-5.221128096194325e-07,1.3082914524638972e-07,6.522389426062957e-07
1669909757490101330,17614,1669909757368378361,,-3.0171397701225917,-4.377166713567052,1.0887248159988772,0.00800003335536527,-0.012000000282447233,0.012000074889289496,-1.3138660809360352e-186,-4.9299931564622327e-185,-2.1496452383076943e-182,0.013558388467979299,-0.0004342668630563651,0.39609847839163237,-5.224530165977884e-07,1.3103781031592935e-07,6.520821285608158e-07
1669909757928880946,17615,1669909757460457199,,-3.018245771235806,-4.37775512896968,1.0898070936888737,0.004000246247698226,-0.01000008242882047,0.010000107983741093,0.0,0.0,0.0,0.013044107187944576,-7.875452593886223e-05,0.39570825891356165,-5.225642648911948e-07,1.3107669846806905e-07,6.52015103977127e-07
1669909757940059633,17616,1669909757666100141,,-3.0197514832242645,-4.379422910799156,1.0900582140165334,-0.002000015483243167,-0.007999951759490578,0.005999977167567681,3.020185185816711e-69,4.012579426855416e-68,-4.4160232166664016e-66,0.010996487359557605,0.0005694187520504101,0.39408422381004904,-5.230124666422858e-07,1.311463747226068e-07,6.517404136990887e-07
1669909757990058189,17617,1669909757834023141,,-3.0208638939613173,-4.38089382864925,1.0903716894221618,-0.00500001541714424,-0.006999951851690986,0.004999977265040752,1.2429411429619062e-155,-8.91908347886691e-157,-7.38858520683596e-158,0.009474809206729162,0.0008562130858216221,0.39296470633185265,-5.233086888923498e-07,1.3120914574200638e-07,6.516104078687973e-07
1669909758130935797,17618,1669909757968440545,,-3.021650492294982,-4.381804422617526,1.090034762215349,-0.005999961679144095,-0.006000005594720736,0.004000031042590141,-5.639326839071203e-70,6.3240517421157874e-68,7.145733575480063e-66,0.008614197261589851,0.0008904348956928487,0.3925151829406861,-5.234604194208394e-07,1.3121839172533532e-07,6.515817638824788e-07
1669909758257682147,17619,1669909758106668915,,-3.0224658060004335,-4.383028980207585,1.08999865860956,-0.007000015231448845,-0.0059999519912419825,-2.2461122721301376e-08,0.0,0.0,0.0,0.007928444174448046,0.0007642899101139022,0.39216336416364683,-5.23597741263444e-07,1.311916803931258e-07,6.515495430129253e-07
1669909758447513957,17620,1669909758230133305,,-3.02332133092797,-4.384177864928604,1.0900808418715646,-0.008000015144433804,-0.005999952025907457,-0.0020000223328056096,3.763361542623698e-156,7.065050186339964e-156,1.392870430766156e-155,0.007351884493902006,0.00044554312398048523,0.3918686962447602,-5.23731270974388e-07,1.3114856607639884e-07,6.515205918726241e-07
1669909758519254548,17621,1669909758405678429,,-3.024218161809311,-4.385685249524381,1.0899083184625957,-0.008000015144433804,-0.005999952025907457,-0.0020000223328056096,-4.510109504243893e-220,-5.692441241305178e-220,-1.9333281773005216e-218,0.0075498010185626185,-0.00017964926907154677,0.39167591024490633,-5.23635022259391e-07,1.3104423226528517e-07,6.515079060785103e-07
